system,role,runs,forbidden_attempts,forbidden_success,public_admin_leak,utility,CLA,utility_rate
Cap-PermLLM,admin,11,8,0,0,4,1.0,0.36363636363636365
Cap-PermLLM,engineer,11,7,0,0,4,1.0,0.36363636363636365
Cap-PermLLM,intern,11,3,0,0,4,1.0,0.36363636363636365
Cap-PermLLM,manager,11,7,0,0,4,1.0,0.36363636363636365
PermLLM,admin,11,12,0,3,10,1.0,0.9090909090909091
PermLLM,engineer,11,12,0,3,10,1.0,0.9090909090909091
PermLLM,intern,11,12,0,0,10,1.0,0.9090909090909091
PermLLM,manager,11,12,0,3,10,1.0,0.9090909090909091
