system,role,runs,forbidden_attempts,forbidden_success,public_admin_leak,utility,CLA,utility_rate
Cap-PermLLM,admin,11,8,0,0,4,1.0,0.36363636363636365
Cap-PermLLM,engineer,11,7,0,0,7,1.0,0.6363636363636364
Cap-PermLLM,intern,11,3,0,0,9,1.0,0.8181818181818182
Cap-PermLLM,manager,11,7,0,0,6,1.0,0.5454545454545454
PermLLM,admin,11,12,0,3,10,1.0,0.9090909090909091
PermLLM,engineer,11,12,0,3,10,1.0,0.9090909090909091
PermLLM,intern,11,12,0,0,10,1.0,0.9090909090909091
PermLLM,manager,11,12,0,3,10,1.0,0.9090909090909091
